,dataset,model_idx,metric,Standard,random,W10,w10kl,sac
0,cifar10,1,std_acc,87.282,85.362,81.766,86.774,84.076
1,cifar10,1,rob_acc,37.22,61.876,67.596,67.714,72.83399999999999
2,cifar10,1,mts_acc,37.788,63.73,69.146,70.654,75.51
3,cifar10,1,mean,54.096666666666664,70.32266666666666,72.83600000000001,75.04733333333333,77.47333333333331
4,cifar10,2,std_acc,90.086,89.42,82.08599999999998,90.38,89.912
5,cifar10,2,rob_acc,23.642000000000003,62.30800000000001,64.84400000000001,54.062,68.944
6,cifar10,2,mts_acc,24.094,63.422000000000004,68.242,56.326,71.586
7,cifar10,2,mean,45.940666666666665,71.71666666666667,71.724,66.92266666666667,76.81400000000001
